loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B090318-5,8,8,0.125,0.0,0.875,12.75,102,61,1.0,0.125,3.0,4.0,1,0,2009,손실(상환완료),손실,528,676,200만원,9개월,0.3,여자,세,기타,,,,8.0,3.0,21.0,0.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B090409-5,9,9,0.0,0.0,1.0,21.556,194,61,1.0,0.111,,,1,0,2009,연체중,손실,282,924,200만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090414-5,8,8,0.125,0.0,0.875,18.375,147,61,1.0,0.125,3.0,4.0,1,0,2009,연체중,손실,1454,2722,100만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,
B090415-5,5,5,0.6,0.6,0.4,0.8,4,2,2.0,0.4,4.0,,1,0,2009,정상종료,완납,168,2460,200만원,9개월,0.3,여자,세,기타,,,,16.0,12.0,10.0,1.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B090424-5,16,16,1.0,0.8125,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,234,807,300만원,24개월,0.3,남자,세,기타,,,,48.0,36.0,0.0,0.0,0.0,1,,,,,3000000.0,24.0,200000.0,164062.5,,,,
B090508-5,10,10,0.9,0.9,0.1,0.8,8,8,4.0,0.4,5.0,,1,0,2009,정상종료,완납,470,444,300만원,15개월,0.3,남자,세,기타,,,,37.0,27.0,27.0,2.0,0.0,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,
B090614-5,3,3,0.6667,0.3333,0.3333,20.333,61,61,3.0,1.0,,,1,0,2009,연체중,손실,331,253,300만원,18개월,0.3,남자,세,기타,,,,23.0,19.0,1.0,0.0,0.0,1,,,,,3000000.0,18.0,241666.66666666663,206250.0,,,,
B090622-5,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,207,2086,200만원,9개월,0.3,여자,세,기타,,,,47.0,32.0,3.0,0.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B090702-5,12,12,0.4167,0.0,0.5833,1.167,14,3,2.0,0.167,3.0,5.0,1,0,2009,정상종료,완납,723,1901,200만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090708-5,5,5,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,649,1067,200만원,9개월,0.3,남자,세,기타,,,,31.0,24.0,2.0,0.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B090810-5,12,12,1.0,0.8333,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,2012,2694,200만원,12개월,0.3,남자,세,기타,,,,21.0,19.0,0.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
