loan_id,k,sched_date,actual_date,status,delay,gap,ontime,early,late,unpaid,sched_prin,sched_int,paid_prin,paid_int,balance
B090417-1,8,2009-12-23,2009-12-24,일반상환,1,1.0,0.0,0.0,1.0,0,83331,9417,83331,9499,333352
B090417-1,9,2010-01-23,2010-01-23,일반상환,0,0.0,1.0,0.0,0.0,0,83331,7533,83331,7533,250021
B090417-1,10,2010-02-23,2010-03-02,일반상환,7,7.0,0.0,0.0,1.0,0,83331,5648,83331,6203,166690
B090417-1,11,2010-03-23,2010-03-29,일반상환,6,6.0,0.0,0.0,1.0,0,83331,3769,83331,4233,83359
B090417-1,12,2010-04-23,2010-05-17,일반상환,24,24.0,0.0,0.0,1.0,0,83359,1884,83359,3707,0
B090424-1,1,2009-06-07,2009-06-06,일반상환,0,-1.0,1.0,1.0,0.0,0,166667,24542,166667,24542,833333
B090424-1,2,2009-07-07,2009-07-06,일반상환,0,-1.0,1.0,1.0,0.0,0,166667,20446,166667,20446,666666
B090424-1,3,2009-08-07,2009-08-07,일반상환,0,0.0,1.0,0.0,0.0,0,166667,16358,166667,16358,499999
B090424-1,4,2009-09-07,2009-09-06,일반상환,0,-1.0,1.0,1.0,0.0,0,166667,12266,166667,12266,333332
B090424-1,5,2009-10-07,2009-10-06,일반상환,0,-1.0,1.0,1.0,0.0,0,166667,8179,166667,8179,166665
B090424-1,6,2009-11-07,2009-10-23,일시상환,0,-15.0,1.0,1.0,0.0,0,166665,4091,166665,2157,0
B090702-1,1,2009-08-09,2009-08-10,일반상환,1,1.0,0.0,0.0,1.0,0,111111,23018,111111,23149,888889
B090702-1,2,2009-09-09,2009-09-10,일반상환,1,1.0,0.0,0.0,1.0,0,111111,20446,111111,20577,777778
B090702-1,3,2009-10-09,2009-10-12,일반상환,3,3.0,0.0,0.0,1.0,0,111111,17903,111111,18261,666667
B090702-1,4,2009-11-09,2009-11-09,일반상환,0,0.0,1.0,0.0,0.0,0,111111,15346,111111,15346,555556
B090702-1,5,2009-12-09,2009-12-10,일반상환,1,1.0,0.0,0.0,1.0,0,111111,12789,111111,12900,444445
B090702-1,6,2010-01-09,2010-01-11,일반상환,2,2.0,0.0,0.0,1.0,0,111111,10228,111111,10449,333334
B090702-1,7,2010-02-09,2010-02-10,일반상환,1,1.0,0.0,0.0,1.0,0,111111,7674,111111,7782,222223
B090702-1,8,2010-03-09,2010-03-10,일반상환,1,1.0,0.0,0.0,1.0,0,111111,5117,111111,5222,111112
B090702-1,9,2010-04-09,2010-04-08,일시상환,0,-1.0,1.0,1.0,0.0,0,111112,2560,111112,2521,0
B090703-1,1,2009-08-15,2009-08-21,일반상환,6,6.0,0.0,0.0,1.0,0,166666,22465,166666,23472,833334
B090703-1,2,2009-09-15,2009-09-17,일반상환,2,2.0,0.0,0.0,1.0,0,166666,18718,166666,19045,666668
B090703-1,3,2009-10-15,2009-10-23,일반상환,8,8.0,0.0,0.0,1.0,0,166666,14975,166666,16268,500002
B090703-1,4,2009-11-15,2009-12-15,일반상환,30,30.0,0.0,0.0,1.0,0,166666,11233,166666,15975,333336
B090703-1,5,2009-12-15,2010-02-14,손실,61,61.0,0.0,0.0,1.0,0,333336,11232,0,0,0
B090723-1,1,2009-08-27,2009-08-25,일반상환,0,-2.0,1.0,1.0,0.0,0,166668,47942,166668,47942,1833332
B090723-1,2,2009-09-27,2009-09-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,43943,166668,43943,1666664
B090723-1,3,2009-10-27,2009-10-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,39948,166668,39948,1499996
B090723-1,4,2009-11-27,2009-11-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,35952,166668,35952,1333328
B090723-1,5,2009-12-27,2009-12-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,31963,166668,31963,1166660
B090723-1,6,2010-01-27,2010-01-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,27964,166668,27964,999992
B090723-1,7,2010-02-27,2010-02-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,23969,166668,23969,833324
B090723-1,8,2010-03-27,2010-03-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,19969,166668,19969,666656
B090723-1,9,2010-04-27,2010-04-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,15982,166668,15982,499988
B090723-1,10,2010-05-27,2010-05-26,일반상환,0,-1.0,1.0,1.0,0.0,0,166668,11979,166668,11979,333320
B090723-1,11,2010-06-27,2010-06-15,일시상환,0,-12.0,1.0,1.0,0.0,0,166668,7986,333320,4989,166652
B090828-1,1,2009-10-11,2009-10-02,일반상환,0,-9.0,1.0,1.0,0.0,0,111110,22552,111110,22552,888890
B090828-1,2,2009-11-11,2009-10-31,일반상환,0,-11.0,1.0,1.0,0.0,0,111110,20043,111110,20043,777780
B090828-1,3,2009-12-11,2009-12-01,일반상환,0,-10.0,1.0,1.0,0.0,0,111110,17545,111110,17545,666670
B090828-1,4,2010-01-11,2009-12-31,일반상환,0,-11.0,1.0,1.0,0.0,0,111110,15036,111110,15036,555560
B090828-1,5,2010-02-11,2010-01-29,일반상환,0,-13.0,1.0,1.0,0.0,0,111110,12532,111110,12532,444450
B090828-1,6,2010-03-11,2010-03-02,일반상환,0,-9.0,1.0,1.0,0.0,0,111110,10021,111110,10021,333340
B090828-1,7,2010-04-11,2010-03-31,일반상환,0,-11.0,1.0,1.0,0.0,0,111110,7519,111110,7519,222230
